//ID	DiaHinh	1	2	3	4	5	6	7	8	9	10
1	876	10038	10213	10004	10213	10038	10038	10111	10005	10111	10038
2	4712	0	17027	14001	17027	0	0	17027	14049	0	0
3	1388	17015	0	17015	0	17015	0	17015	0	17015	0
4	627	17005	14121	14120	17005	17005	0	0	0	0	0
5	9843	11017	14179	14185	11029	17016	0	0	0	0	0
6	1646	17015	14118	14001	14182	17015	0	0	0	0	0
7	39030	10045	10047	10026	10047	10045	0	0	0	0	0
8	621	14139	14136	14137	14136	14139	0	14136	14137	14136	0
9	365	0	14139	14139	0	0	0	0	0	0	0
10	369	17001	14120	14121	17001	17001	0	0	0	0	0
11	2417	17278	17278	14176	17278	17278	17278	14177	0	14384	17278
